Do,Ph,ORP,EC,TDS,Water_Temp,CDO,CpH,CORP,CEC,CTDS,CWT,wqc
4.367,7.3304,71.2724,290.3226,207.2336,27.1613,Low,Normal,Low,Normal,Normal,High,Polluted
4.626,7.3304,98.1786,277.4193,211.1437,26.477,Low,Normal,Low,Normal,Normal,High,Polluted
4.626,7.3304,125.0521,1559.14,205.2786,26.868,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.543,7.1653,151.9339,1548.387,197.4585,26.9658,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.764,7.3854,178.84,1559.14,207.2336,26.6725,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.114,7.1378,205.7787,266.6667,203.3236,27.0635,Low,Normal,Low,Normal,Normal,High,Polluted
4.764,7.1103,232.6931,1593.548,203.3236,26.6725,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.114,7.1103,259.6074,387.0968,218.9638,27.259,Low,Normal,Low,Normal,Normal,High,Polluted
4.114,7.1103,286.5461,245.1613,203.3236,27.1613,Low,Normal,Low,Normal,Normal,High,Polluted
4.497,7.2754,313.4523,567.7419,197.4585,27.3568,Low,Normal,Normal,High,Normal,High,Unpolluted
4.541,7.3304,340.4073,1572.043,207.2336,27.0635,Low,Normal,Normal,Abnormal,Normal,High,Polluted
4.628,7.2203,367.3297,255.914,213.0987,27.259,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.454,7.1653,394.2196,260.215,201.3685,27.1613,Low,Normal,Normal,Normal,Normal,High,Unpolluted
5.031,7.1103,112.7126,438.7097,207.2336,26.6725,Low,Normal,Low,Normal,Normal,High,Polluted
4.628,7.3029,85.725,281.7204,207.2336,27.0635,Low,Normal,Low,Normal,Normal,High,Polluted
4.41,7.1103,58.827,1544.086,213.0987,27.1613,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.367,7.1103,31.9208,881.7205,207.2336,27.1613,Low,Normal,Low,High,Normal,High,Polluted
4.288,7.2203,4.9495,270.9677,203.3236,27.259,Low,Normal,Abnormal,Normal,Normal,High,Polluted
4.497,7.3854,22.0952,1554.839,218.9638,27.1613,Low,Normal,Abnormal,Abnormal,Normal,High,Polluted
4.41,7.1653,49.0828,1580.645,197.4585,27.1613,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.856,7.1928,76.0541,1552.688,197.4585,26.7703,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.764,7.1653,103.0661,1574.193,207.2336,26.6725,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.497,7.1653,129.9316,1565.591,213.0987,27.0635,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.288,7.1378,156.911,249.4624,207.2336,27.4545,Low,Normal,Low,Normal,Normal,High,Polluted
4.288,7.3304,183.9231,1070.968,189.6383,27.1613,Low,Normal,Low,High,Normal,High,Polluted
4.41,7.1103,210.8618,258.0645,197.4585,27.3568,Low,Normal,Low,Normal,Normal,High,Polluted
4.856,7.1378,237.7436,245.1613,207.2336,26.477,Low,Normal,Low,Normal,Normal,High,Polluted
4.454,7.3029,264.6823,1556.989,207.2336,27.3568,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.454,7.1928,291.6373,1548.387,189.6383,27.3568,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.628,7.3304,318.5842,279.5699,207.2336,27.259,Low,Normal,Normal,Normal,Normal,High,Unpolluted
5.031,7.3854,345.5148,1565.591,211.1437,26.5748,Low,Normal,Normal,Abnormal,Normal,High,Polluted
5.031,7.1378,372.421,281.7204,203.3236,26.868,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.902,7.1378,399.3923,668.8172,207.2336,26.868,Low,Normal,Normal,High,Normal,High,Unpolluted
4.497,7.3854,107.5155,1572.043,218.9638,27.6501,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.628,7.1378,80.5767,466.6667,201.3685,27.1613,Low,Normal,Low,Normal,Normal,High,Polluted
4.541,7.1378,53.6299,864.5162,197.4585,27.4545,Low,Normal,Low,High,Normal,High,Polluted
4.671,7.1928,26.7726,1554.839,207.2336,27.4545,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.671,7.3029,0.1417,288.172,207.2336,27.8456,Low,Normal,Abnormal,Normal,Normal,High,Polluted
5.031,7.1103,27.1782,1367.742,207.2336,26.6725,Low,Normal,Low,High,Normal,High,Polluted
4.671,7.1103,54.117,367.7419,197.4585,27.4545,Low,Normal,Low,Normal,Normal,High,Polluted
4.41,7.3854,81.0231,1363.441,211.1437,27.6501,Low,Normal,Low,High,Normal,High,Polluted
4.706,7.1653,107.9619,268.8172,197.4585,27.259,Low,Normal,Low,Normal,Normal,High,Polluted
4.541,7.1653,134.9251,292.4731,203.3236,27.6501,Low,Normal,Low,Normal,Normal,High,Polluted
4.497,7.1653,161.7823,1576.344,207.2336,27.7478,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.749,7.2203,188.7455,1584.946,203.3236,27.4545,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.41,7.1928,215.7168,1554.839,203.3236,27.6501,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.749,7.1928,242.5904,1593.548,207.2336,27.259,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.288,7.1378,269.4966,273.1183,197.4585,27.4545,Low,Normal,Low,Normal,Normal,High,Polluted
4.628,7.3854,296.419,277.4193,197.4585,27.3568,Low,Normal,Low,Normal,Normal,High,Polluted
4.454,7.2754,323.4229,1556.989,205.2786,27.9433,Low,Normal,Normal,Abnormal,Normal,High,Polluted
4.41,7.1103,350.2884,294.6237,201.3685,27.6501,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.706,7.1103,377.276,249.4624,207.2336,27.7478,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.41,7.3854,404.1251,255.914,207.2336,27.7478,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.749,7.2754,102.7175,1561.29,193.5484,27.259,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.671,7.1378,75.8846,1565.591,211.1437,27.7478,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.628,7.3854,48.9704,275.2688,197.4585,27.5523,Low,Normal,Low,Normal,Normal,High,Polluted
4.749,7.3854,21.9664,503.2258,207.2336,27.1613,Low,Normal,Abnormal,High,Normal,High,Polluted
4.749,7.1928,4.9642,275.2688,218.9638,27.0635,Low,Normal,Abnormal,Normal,Normal,High,Polluted
4.454,7.1928,31.9599,1546.237,207.2336,27.9433,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.749,7.1378,58.8742,1554.839,218.9638,27.4545,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.628,7.1928,85.7478,763.4409,197.4585,27.5523,Low,Normal,Low,High,Normal,High,Polluted
4.173,7.1928,112.6621,1574.193,207.2336,28.1388,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.379,7.2203,139.6253,234.4086,211.1437,28.1388,Low,Normal,Low,Normal,Normal,High,Polluted
4.749,7.1928,166.5152,255.914,213.0987,27.4545,Low,Normal,Low,Normal,Normal,High,Polluted
4.214,7.3854,193.4865,262.3656,193.5484,28.2366,Low,Normal,Low,Normal,Normal,High,Polluted
4.749,7.1378,220.3682,238.7097,203.3236,27.4545,Low,Normal,Low,Normal,Normal,High,Polluted
4.749,7.2203,247.2499,277.4193,197.4585,27.4545,Low,Normal,Low,Normal,Normal,High,Polluted
4.454,7.2754,274.1561,1550.538,207.2336,27.9433,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.255,7.1928,301.1111,1541.935,203.3236,28.3343,Low,Normal,Normal,Abnormal,Normal,High,Polluted
4.541,7.3304,328.0336,1556.989,197.4585,27.6501,Low,Normal,Normal,Abnormal,Normal,High,Polluted
4.255,7.1928,354.9479,266.6667,207.2336,28.0411,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.41,7.1378,381.911,283.871,211.1437,27.8456,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.749,7.1378,125.1108,389.2473,211.1437,27.4545,Low,Normal,Low,Normal,Normal,High,Polluted
4.749,7.2754,98.1558,1559.14,203.3236,27.4545,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.628,7.1928,71.1844,279.5699,207.2336,27.259,Low,Normal,Low,Normal,Normal,High,Polluted
4.628,7.1928,44.3434,1537.634,211.1437,27.7478,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.541,7.1928,17.4047,1548.387,203.3236,27.7478,Low,Normal,Abnormal,Abnormal,Normal,High,Polluted
4.628,7.3854,9.5829,668.8172,211.1437,27.6501,Low,Normal,Abnormal,High,Normal,High,Polluted
4.497,7.4404,36.4728,258.0645,193.5484,27.9433,Low,Normal,Low,Normal,Normal,High,Polluted
4.628,7.1653,63.4115,234.4086,197.4585,27.0635,Low,Normal,Low,Normal,Normal,High,Polluted
4.671,7.2754,90.3421,234.4086,211.1437,27.6501,Low,Normal,Low,Normal,Normal,High,Polluted
4.749,7.2203,117.2564,249.4624,207.2336,27.4545,Low,Normal,Low,Normal,Normal,High,Polluted
4.288,7.1378,144.1626,1593.548,207.2336,27.8456,Low,Normal,Low,Abnormal,Normal,High,Polluted
3.893,7.2754,171.0362,251.6129,211.1437,28.0411,Abnormal,Normal,Low,Normal,Normal,High,Polluted
4.497,7.3304,197.9831,279.5699,207.2336,27.259,Low,Normal,Low,Normal,Normal,High,Polluted
4.497,7.1928,224.9381,1554.839,218.9638,27.8456,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.158,7.1378,251.7709,1561.29,201.3685,27.7478,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.332,7.2754,278.7993,1286.022,197.4585,27.259,Low,Normal,Low,High,Normal,High,Polluted
4.332,7.3029,305.7787,1559.14,207.2336,27.259,Low,Normal,Normal,Abnormal,Normal,High,Polluted
4.589,7.1378,332.7012,967.7419,203.3236,26.868,Low,Normal,Normal,High,Normal,High,Unpolluted
4.367,7.4129,359.6807,283.871,218.9638,27.5523,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.288,7.1928,386.6194,279.5699,197.4585,27.5523,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.114,7.1928,120.3291,1556.989,197.4585,27.6501,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.288,7.1928,93.3904,230.1075,197.4585,27.6501,Low,Normal,Low,Normal,Normal,High,Polluted
4.367,7.1378,66.4027,255.914,207.2336,27.5523,Low,Normal,Low,Normal,Normal,High,Polluted
4.497,7.2203,39.4314,1133.333,211.1437,27.8456,Low,Normal,Low,High,Normal,High,Polluted
4.589,7.1928,12.566,281.7204,207.2336,26.9658,Low,Normal,Abnormal,Normal,Normal,High,Polluted
4.201,7.1928,14.2913,1561.29,197.4585,27.7478,Low,Normal,Abnormal,Abnormal,Normal,High,Polluted
4.332,7.4404,41.2545,247.3118,207.2336,27.259,Low,Normal,Low,Normal,Normal,High,Polluted
4.367,7.2478,68.2828,1240.86,197.4585,27.0635,Low,Normal,Low,High,Normal,High,Polluted
4.332,7.1928,95.1564,243.0108,201.3685,27.0635,Low,Normal,Low,Normal,Normal,High,Polluted
4.367,7.1928,122.1196,275.2688,211.1437,27.0635,Low,Normal,Low,Normal,Normal,High,Polluted
4.367,7.2203,149.0665,1552.688,189.6383,27.1613,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.332,7.2203,176.0134,1552.688,218.9638,27.0635,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.332,7.2478,203.0173,1576.344,207.2336,27.7478,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.367,7.1378,229.9153,266.6667,207.2336,27.5523,Low,Normal,Low,Normal,Normal,High,Polluted
4.497,7.4404,256.8866,1423.656,197.4585,27.0635,Low,Normal,Low,High,Normal,High,Polluted
4.856,7.1928,283.9394,1584.946,207.2336,26.9658,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.497,7.3029,310.8781,225.8064,197.4585,27.8456,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.367,7.2203,337.8332,251.6129,211.1437,27.3568,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.288,7.1378,364.7801,279.5699,207.2336,27.5523,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.367,7.2478,391.8002,1567.742,207.2336,27.1613,Low,Normal,Normal,Abnormal,Normal,High,Polluted
4.497,7.1928,115.0994,277.4193,211.1437,27.6501,Low,Normal,Low,Normal,Normal,High,Polluted
4.071,7.4404,88.1606,1567.742,203.3236,27.7478,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.332,7.3304,61.2056,724.7311,205.2786,27.5523,Low,Normal,Low,High,Normal,High,Polluted
4.41,7.4404,34.2017,251.6129,218.9638,27.5523,Low,Normal,Low,Normal,Normal,High,Polluted
4.367,7.3304,7.2304,270.9677,203.3236,27.1613,Low,Normal,Abnormal,Normal,Normal,High,Polluted
4.367,7.4679,19.7165,1591.398,207.2336,27.6501,Low,Normal,Abnormal,Abnormal,Normal,High,Polluted
4.071,7.2203,46.6471,1584.946,207.2336,27.8456,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.332,7.2478,73.5614,262.3656,207.2336,27.0635,Low,Normal,Low,Normal,Normal,High,Polluted
4.288,7.2478,100.4676,1550.538,207.2336,27.6501,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.332,7.2754,127.4145,1550.538,193.5484,27.5523,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.288,7.2203,154.3125,1561.29,197.4585,27.259,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.288,7.2203,181.2186,1572.043,207.2336,27.9433,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.201,7.4404,208.1004,260.215,201.3685,27.4545,Low,Normal,Low,Normal,Normal,High,Polluted
4.245,7.2478,235.0798,1548.387,211.1437,27.0635,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.288,7.4404,261.9697,245.1613,207.2336,27.5523,Low,Normal,Low,Normal,Normal,High,Polluted
4.114,7.1928,288.9084,690.3226,218.9638,27.4545,Low,Normal,Low,High,Normal,High,Polluted
4.332,7.2478,315.7983,238.7097,201.3685,27.259,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.201,7.2478,342.7778,1070.968,203.3236,27.7478,Low,Normal,Normal,High,Normal,High,Unpolluted
4.201,7.2478,369.7328,1391.398,197.4585,27.259,Low,Normal,Normal,High,Normal,High,Unpolluted
4.288,7.2478,396.6879,240.8602,207.2336,27.4545,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.114,7.4404,110.2118,1544.086,201.3685,27.259,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.158,7.3304,83.2486,1258.064,207.2336,27.7478,Low,Normal,Low,High,Normal,High,Polluted
4.288,7.2478,56.3343,264.5161,207.2336,27.4545,Low,Normal,Low,Normal,Normal,High,Polluted
4.245,7.4679,29.306,262.3656,207.2336,27.1613,Low,Normal,Low,Normal,Normal,High,Polluted
4.245,7.2478,2.3346,262.3656,203.3236,27.259,Low,Normal,Abnormal,Normal,Normal,High,Polluted
4.158,7.2754,24.596,1541.935,193.5484,27.8456,Low,Normal,Abnormal,Abnormal,Normal,High,Polluted
4.288,7.4679,51.551,989.2473,218.9638,27.3568,Low,Normal,Low,High,Normal,High,Polluted
4.497,7.4404,78.4816,675.2688,207.2336,26.868,Low,Normal,Low,High,Normal,High,Polluted
4.245,7.2478,105.4203,283.871,207.2336,27.3568,Low,Normal,Low,Normal,Normal,High,Polluted
4.071,7.3304,132.3428,1081.72,218.9638,27.9433,Low,Normal,Low,High,Normal,High,Polluted
4.158,7.2754,159.2897,1550.538,197.4585,27.7478,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.288,7.2478,186.1958,1548.387,197.4585,27.5523,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.405,7.3854,213.1101,240.8602,207.2336,26.9658,Low,Normal,Low,Normal,Normal,High,Polluted
4.288,7.2478,239.9756,840.8602,207.2336,27.3568,Low,Normal,Low,High,Normal,High,Polluted
4.543,7.3029,266.9632,1567.742,207.2336,26.868,Low,Normal,Low,Abnormal,Normal,High,Polluted
3.984,7.2478,293.9508,1550.538,203.3236,27.5523,Abnormal,Normal,Low,Abnormal,Normal,High,Polluted
4.245,7.2478,320.8977,1537.634,203.3236,27.259,Low,Normal,Normal,Abnormal,Normal,High,Polluted
4.405,7.4404,347.7875,236.5591,203.3236,26.7703,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.158,7.2478,374.6774,1552.688,211.1437,27.6501,Low,Normal,Normal,Abnormal,Normal,High,Polluted
4.114,7.4129,401.5999,761.2903,203.3236,27.6501,Low,Normal,Normal,High,Normal,High,Unpolluted
4.158,7.2478,105.3486,270.9677,207.2336,27.7478,Low,Normal,Low,Normal,Normal,High,Polluted
4.288,7.4129,78.4181,268.8172,193.5484,27.5523,Low,Normal,Low,Normal,Normal,High,Polluted
4.497,7.5505,51.4956,1546.237,209.1887,26.868,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.114,7.2754,24.5976,1554.839,207.2336,27.8456,Low,Normal,Abnormal,Abnormal,Normal,High,Polluted
3.984,7.5505,2.3086,1546.237,207.2336,27.6501,Abnormal,Normal,Abnormal,Abnormal,Normal,High,Polluted
4.245,7.2754,29.231,1593.548,207.2336,27.259,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.288,7.2478,56.1209,1537.634,209.1887,27.7478,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.288,7.2754,83.0841,283.871,207.2336,27.259,Low,Normal,Low,Normal,Normal,High,Polluted
4.245,7.2754,109.9739,255.914,207.2336,27.4545,Low,Normal,Low,Normal,Normal,High,Polluted
3.984,7.4404,136.8638,498.9247,201.3685,27.4545,Abnormal,Normal,Low,Normal,Normal,High,Polluted
4.158,7.2478,163.7618,264.5161,207.2336,27.4545,Low,Normal,Low,Normal,Normal,High,Polluted
3.775,7.4679,190.668,1546.237,207.2336,27.8456,Abnormal,Normal,Low,Abnormal,Normal,High,Polluted
4.245,7.4679,217.5741,251.6129,213.0987,27.6501,Low,Normal,Low,Normal,Normal,High,Polluted
4.288,7.2478,244.4558,251.6129,203.3236,27.5523,Low,Normal,Low,Normal,Normal,High,Polluted
4.405,7.2478,271.4272,1580.645,201.3685,26.868,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.158,7.2754,298.3415,270.9677,207.2336,27.7478,Low,Normal,Low,Normal,Normal,High,Polluted
3.852,7.2478,325.2476,1544.086,197.4585,28.0411,Abnormal,Normal,Normal,Abnormal,Normal,High,Polluted
4.114,7.2754,352.2271,258.0645,193.5484,27.6501,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.245,7.2478,379.1333,245.1613,207.2336,27.3568,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.288,7.3029,406.1535,1567.742,209.1887,27.1613,Low,Normal,Normal,Abnormal,Normal,High,Polluted
4.158,7.3854,100.8358,270.9677,207.2336,27.7478,Low,Normal,Low,Normal,Normal,High,Polluted
3.862,7.3029,73.8156,511.8279,207.2336,27.5523,Abnormal,Normal,Low,High,Normal,High,Polluted
4.158,7.4679,46.8361,262.3656,207.2336,27.259,Low,Normal,Low,Normal,Normal,High,Polluted
4.158,7.3854,19.8892,236.5591,203.3236,27.7478,Low,Normal,Abnormal,Normal,Normal,High,Polluted
4.405,7.4404,7.0495,518.2795,197.4585,26.9658,Low,Normal,Abnormal,High,Normal,High,Polluted
4.497,7.2478,33.9638,275.2688,218.9638,26.868,Low,Normal,Low,Normal,Normal,High,Polluted
4.027,7.3029,60.7885,234.4086,211.1437,27.7478,Low,Normal,Low,Normal,Normal,High,Polluted
3.862,7.2754,87.7843,262.3656,207.2336,27.6501,Abnormal,Normal,Low,Normal,Normal,High,Polluted
4.158,7.2478,114.6823,1548.387,197.4585,27.4545,Low,Normal,Low,Abnormal,Normal,High,Polluted
3.862,7.2478,141.5803,245.1613,203.3236,27.7478,Abnormal,Normal,Low,Normal,Normal,High,Polluted
4.071,7.4404,168.5598,1559.14,203.3236,27.9433,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.158,7.2478,195.4741,565.5914,207.2336,27.0635,Low,Normal,Low,High,Normal,High,Polluted
3.775,7.2478,222.4698,434.4086,193.5484,27.4545,Abnormal,Normal,Low,Normal,Normal,High,Polluted
4.158,7.4404,249.376,255.914,211.1437,27.6501,Low,Normal,Low,Normal,Normal,High,Polluted
4.245,7.4679,276.3229,303.2258,211.1437,27.1613,Low,Normal,Low,Normal,Normal,High,Polluted
4.158,7.4404,303.2698,264.5161,197.4585,27.0635,Low,Normal,Normal,Normal,Normal,High,Unpolluted
